title,level,content_problem,content_input,content_output,gpt_answer
일치 여부 확인2,3,"숫자 카드는 정수 하나가 적혀져 있는 카드이다. 상근이는 숫자 카드 N개를 가지고 있다. 정수 M개가 주어졌을 때, 이 수가 적혀있는 숫자 카드를 상근이가 몇 개 가지고 있는지 구하는 프로그램을 작성하시오.","첫째 줄에 상근이가 가지고 있는 숫자 카드의 개수 N(1 ≤ N ≤ 500,000)이 주어진다. 둘째 줄에는 숫자 카드에 적혀있는 정수가 주어진다. 숫자 카드에 적혀있는 수는 -10,000,000보다 크거나 같고, 10,000,000보다 작거나 같다.
셋째 줄에는 M(1 ≤ M ≤ 500,000)이 주어진다. 넷째 줄에는 상근이가 몇 개 가지고 있는 숫자 카드인지 구해야 할 M개의 정수가 주어지며, 이 수는 공백으로 구분되어져 있다. 이 수도 -10,000,000보다 크거나 같고, 10,000,000보다 작거나 같다.","첫째 줄에 입력으로 주어진 M개의 수에 대해서, 각 수가 적힌 숫자 카드를 상근이가 몇 개 가지고 있는지를 공백으로 구분해 출력한다.","from collections import Counter

# 입력 처리 함수
def process_input():
    N = int(input())  # 상근이가 가지고 있는 숫자 카드의 개수
    cards = list(map(int, input().split()))  # 숫자 카드에 적힌 정수들
    M = int(input())  # 구해야 할 숫자 카드의 개수
    targets = list(map(int, input().split()))  # 구해야 할 숫자 카드들
    
    return N, cards, M, targets

# 메인 함수
def main():
    N, cards, M, targets = process_input()
    
    # 숫자 카드 개수를 세는 Counter 객체 생성
    card_counter = Counter(cards)
    
    # 각 숫자 카드 개수 출력
    for target in targets:
        count = card_counter[target]
        print(count, end=' ')

if __name__ == ""__main__"":
    main() "
일치 여부 확인3,3,"연종이는 엄청난 기억력을 가지고 있다. 그래서 하루 동안 본 정수들을 모두 기억 할 수 있다. 하지만 이를 믿을 수 없는 동규는 그의 기억력을 시험해 보기로 한다. 동규는 연종을 따라 다니며, 연종이 하루 동안 본 정수들을 모두 ‘수첩1’에 적어 놓았다. 그것을 바탕으로 그가 진짜 암기왕인지 알아보기 위해, 동규는 연종에게 M개의 질문을 던졌다. 질문의 내용은 “X라는 정수를 오늘 본 적이 있는가?” 이다. 연종은 막힘없이 모두 대답을 했고, 동규는 연종이 봤다고 주장하는 수 들을 ‘수첩2’에 적어 두었다. 집에 돌아온 동규는 답이 맞는지 확인하려 하지만, 연종을 따라다니느라 너무 힘들어서 여러분에게 도움을 요청했다. 동규를 도와주기 위해 ‘수첩2’에 적혀있는 순서대로, 각각의 수에 대하여, ‘수첩1’에 있으면 1을, 없으면 0을 출력하는 프로그램을 작성해보자.","첫째 줄에 테스트케이스의 개수 T가 들어온다. 다음 줄에는 ‘수첩 1’에 적어 놓은 정수의 개수 N(1 ≤ N ≤ 1,000,000)이 입력으로 들어온다. 그 다음 줄에  ‘수첩 1’에 적혀 있는 정수들이 N개 들어온다. 그 다음 줄에는 ‘수첩 2’에 적어 놓은 정수의 개수 M(1 ≤ M ≤ 1,000,000) 이 주어지고, 다음 줄에 ‘수첩 2’에 적어 놓은 정수들이 입력으로 M개 들어온다. 모든 정수들의 범위는 int 로 한다.","‘수첩2’에 적혀있는 M개의 숫자 순서대로, ‘수첩1’에 있으면 1을, 없으면 0을 출력한다.","def check_numbers(N, numbers1, M, numbers2):
    num_set = set(numbers1)  # 수첩 1에 적혀 있는 정수들을 집합으로 변환

    results = []
    for num in numbers2:
        if num in num_set:  # 수첩 2의 정수가 수첩 1에 있으면 1을 결과 리스트에 추가
            results.append(1)
        else:  # 수첩 2의 정수가 수첩 1에 없으면 0을 결과 리스트에 추가
            results.append(0)

    return results

# 입력 처리 및 결과 출력
if __name__ == ""__main__"":
    T = int(input())  # 테스트 케이스 개수 입력

    for _ in range(T):
        N = int(input())  # 수첩 1에 적혀 있는 정수의 개수 입력
        numbers1 = list(map(int, input().split()))  # 수첩 1의 정수들 입력

        M = int(input())  # 수첩 2에 적혀 있는 정수의 개수 입력
        numbers2 = list(map(int, input().split()))  # 수첩 2의 정수들 입력

        results = check_numbers(N, numbers1, M, numbers2)
        print(' '.join(map(str, results))) "
확률 계산,3,"통제 할 수 없는 미친 로봇이 평면위에 있다. 그리고 이 로봇은 N번의 행동을 취할 것이다.
각 행동에서 로봇은 4개의 방향 중에 하나를 임의로 선택한다. 그리고 그 방향으로 한 칸 이동한다.
로봇이 같은 곳을 한 번보다 많이 이동하지 않을 때, 로봇의 이동 경로가 단순하다고 한다. (로봇이 시작하는 위치가 처음 방문한 곳이다.) 로봇의 이동 경로가 단순할 확률을 구하는 프로그램을 작성하시오. 예를 들어, EENE와 ENW는 단순하지만, ENWS와 WWWWSNE는 단순하지 않다. (E는 동, W는 서, N은 북, S는 남)","첫째 줄에 N, 동쪽으로 이동할 확률, 서쪽으로 이동할 확률, 남쪽으로 이동할 확률, 북쪽으로 이동할 확률이 주어진다. N은 14보다 작거나 같은 자연수이고,  모든 확률은 100보다 작거나 같은 자연수 또는 0이다. 그리고, 동서남북으로 이동할 확률을 모두 더하면 100이다.
확률의 단위는 %이다.",첫째 줄에 로봇의 이동 경로가 단순할 확률을 출력한다. 절대/상대 오차는 10-9 까지 허용한다.,"def robot_path_probability(N, east_prob, west_prob, south_prob, north_prob):
    # 동, 서, 남, 북에 대한 이동 확률
    probs = [east_prob/100, west_prob/100, south_prob/100, north_prob/100]

    # 방문한 위치를 저장하는 집합
    visited = set()

    # 재귀 함수를 통해 로봇의 이동 경로를 생성하고 단순한 경로의 개수를 센다
    def generate_path(x, y, n, prob):
        # N번의 행동을 마쳤을 때
        if n == N:
            return prob

        # 로봇의 현재 위치
        current_pos = (x, y)

        # 단순한 경로의 개수 초기화
        simple_paths = 0

        # 동, 서, 남, 북으로 이동
        for dx, dy, p in [(1, 0, probs[0]), (-1, 0, probs[1]), (0, -1, probs[2]), (0, 1, probs[3])]:
            next_pos = (x + dx, y + dy)
            
            # 이동한 위치가 처음 방문한 곳인 경우
            if next_pos not in visited:
                visited.add(next_pos)
                
                # 다음 위치로 이동하며 단순한 경로의 개수를 누적한다
                simple_paths += generate_path(next_pos[0], next_pos[1], n + 1, prob * p)
                
                # 방문 기록을 삭제하여 다른 경로로 이동 가능하게 한다
                visited.remove(next_pos)

        # 단순한 경로의 개수를 반환
        return simple_paths

    # 시작 위치를 (0, 0)으로 초기화
    start_pos = (0, 0)
    visited.add(start_pos)

    # 로봇의 이동 경로가 단순한 확률을 계산
    simple_path_prob = generate_path(0, 0, 0, 1)

    return simple_path_prob


# 입력 처리 및 결과 출력
if __name__ == ""__main__"":
    N, east_prob, west_prob, south_prob, north_prob = map(int, input().split())
    result = robot_path_probability(N, east_prob, west_prob, south_prob, north_prob)
    print(result) "
영화감독 숌 문제,3,"666은 종말을 나타내는 수라고 한다. 따라서, 많은 블록버스터 영화에서는 666이 들어간 제목을 많이 사용한다. 영화감독 숌은 세상의 종말 이라는 시리즈 영화의 감독이다. 조지 루카스는 스타워즈를 만들 때, 스타워즈 1, 스타워즈 2, 스타워즈 3, 스타워즈 4, 스타워즈 5, 스타워즈 6과 같이 이름을 지었고, 피터 잭슨은 반지의 제왕을 만들 때, 반지의 제왕 1, 반지의 제왕 2, 반지의 제왕 3과 같이 영화 제목을 지었다. 하지만 숌은 자신이 조지 루카스와 피터 잭슨을 뛰어넘는다는 것을 보여주기 위해서 영화 제목을 좀 다르게 만들기로 했다. 종말의 수란 어떤 수에 6이 적어도 3개 이상 연속으로 들어가는 수를 말한다. 제일 작은 종말의 수는 666이고, 그 다음으로 큰 수는 1666, 2666, 3666, .... 이다. 따라서, 숌은 첫 번째 영화의 제목은 ""세상의 종말 666"", 두 번째 영화의 제목은 ""세상의 종말 1666""와 같이 이름을 지을 것이다. 일반화해서 생각하면, N번째 영화의 제목은 세상의 종말 (N번째로 작은 종말의 수) 와 같다. 숌이 만든 N번째 영화의 제목에 들어간 수를 출력하는 프로그램을 작성하시오. 숌은 이 시리즈를 항상 차례대로 만들고, 다른 영화는 만들지 않는다.","첫째 줄에 N이 주어진다. N은 10,000보다 작거나 같은 자연수이다.",첫째 줄에 666이 들어가는 수 중 N번째로 큰 수를 출력한다.,"def get_movie_title(N):
    base = 666  # 시작 종말의 수
    count = 0  # 종말의 수 개수 카운트

    while True:
        if '666' in str(base):  # 종말의 수인 경우
            count += 1

        if count == N:  # N번째 종말의 수인 경우
            return base

        base += 1

# 입력 받기
N = int(input())

# N번째 영화의 제목에 들어간 수 구하기
result = get_movie_title(N)

# 결과 출력
print(result)"
수들의 합 문제,3,"N개의 수로 된 수열 A[1], A[2], …, A[N] 이 있다. 이 수열의 i번째 수부터 j번째 수까지의 합 A[i] + A[i+1] + … + A[j-1] + A[j]가 M이 되는 경우의 수를 구하는 프로그램을 작성하시오. ","첫째 줄에 N(1 ≤ N ≤ 10,000), M(1 ≤ M ≤ 300,000,000)이 주어진다. 다음 줄에는 A[1], A[2], …, A[N]이 공백으로 분리되어 주어진다. 각각의 A[x]는 30,000을 넘지 않는 자연수이다.",첫째 줄에 경우의 수를 출력한다. ,"def count_subarray_sum(arr, target_sum):
    count = 0
    prefix_sum = 0
    prefix_sum_count = {0: 1}  # Dictionary to store count of prefix sums

    for num in arr:
        prefix_sum += num
        count += prefix_sum_count.get(prefix_sum - target_sum, 0)
        prefix_sum_count[prefix_sum] = prefix_sum_count.get(prefix_sum, 0) + 1

    return count

# 입력 받기
N, M = map(int, input().split())
A = list(map(int, input().split()))

# 경우의 수 계산
result = count_subarray_sum(A, M)

# 결과 출력
print(result)"
반올림 문제,3,"정수 N이 주어져 있을 때 이 수가 10보다 크면 일의 자리에서 반올림을 하고, 이 결과가 100보다 크면 다시 10의 자리에서 반올림을 하고, 또 이 수가 1000보다 크면 100의 자리에서 반올림을 하고.. (이하 생략) 이러한 연산을 한 결과를 출력하시오. ","첫째 줄에 정수 N이 주어진다. (0 ≤ N ≤ 99,999,999) ",첫째 줄에 위와 같은 연산을 한 결과를 출력하시오.,"def round_up(N):
    power_of_ten = 10
    while N >= power_of_ten:
        N = (N + power_of_ten // 2) // power_of_ten * power_of_ten
        power_of_ten *= 10
    return N

# 입력 받기
N = int(input())

# 반올림 연산 수행
N = round_up(N)

# 결과 출력
print(N)"
최대 공약수와 최소 공배수 ,3,두 개의 자연수를 입력받아 최대 공약수와 최소 공배수를 출력하는 프로그램을 작성하시오,"첫째 줄에는 두 개의 자연수가 주어진다. 이 둘은 10,000이하의 자연수이며 사이에 한 칸의 공백이 주어진다","첫째 줄에는 입력으로 주어진 두 수의 최대공약수를, 둘째 줄에는 입력으로 주어진 두 수의 최소 공배수를 출력한다. ","def gcd(a, b):
    # 유클리드 호제법을 이용하여 최대 공약수를 구하는 함수
    while b != 0:
        a, b = b, a % b
    return a

def lcm(a, b):
    # 최소 공배수를 구하는 함수
    return (a * b) // gcd(a, b)

# 두 개의 자연수 입력 받기
num1, num2 = map(int, input().split())

# 최대 공약수 계산
greatest_common_divisor = gcd(num1, num2)

# 최소 공배수 계산
least_common_multiple = lcm(num1, num2)

# 결과 출력
print(greatest_common_divisor)
print(least_common_multiple)"
나머지 문제 ,3,"두 자연수 A와 B가 있을 때, A%B는 A를 B로 나눈 나머지 이다. 예를 들어, 7, 14, 27, 38을 3으로 나눈 나머지는 1, 2, 0, 2이다. 수 10개를 입력받은 뒤, 이를 42로 나눈 나머지를 구한다. 그 다음 서로 다른 값이 몇 개 있는지 출력하는 프로그램을 작성하시오. ","첫째 줄부터 열번째 줄 까지 숫자가 한 줄에 하나씩 주어진다. 이 숫자는 1,000보다 작거나 같고, 음이 아닌 정수이다.","첫째 줄에, 42로 나누었을 때, 서로 다른 나머지가 몇 개 있는지 출력한다. ","remainders = set()  # 서로 다른 나머지를 저장할 집합

for _ in range(10):
    num = int(input())
    remainder = num % 42
    remainders.add(remainder)

count = len(remainders)
print(count)"
보물,1,"옛날 옛적에 수학이 항상 큰 골칫거리였던 나라가 있었다. 이 나라의 국왕 김지민은 다음과 같은 문제를 내고 큰 상금을 걸었다. 길이가 N인 정수 배열 A와 B가 있다. 다음과 같이 함수 S를 정의하자. S = A[0] × B[0] + ... + A[N-1] × B[N-1] S의 값을 가장 작게 만들기 위해 A의 수를 재배열하자. 단, B에 있는 수는 재배열하면 안 된 다. S의 최솟값을 출력하는 프로그램을 작성하시오. "," 첫째 줄에 N이 주어진다. 둘째 줄에는 A에 있는 N개의 수가 순서대로 주어지고, 셋째 줄에는 B에 있는 수가 순서대로 주어진다. N은 50보다 작거나 같은 자연수이고, A와 B의 각 원소는 100보다 작거나 같은 음이 아닌 정수이다..",  첫째 줄에 S의 최솟값을 출력한다,A.sort() # 배열 A를 오름차순으로 정렬 B.sort(reverse=True) # 배열 B를 내림차순으로 정렬 현서_문제 2 S = 0 # 변수 S를 초기화 for i in range(N): S += A[i] * B[i] # A와 B의 각 요소를 순서대로 곱하여 S에 더함 print(S) # S의 값을 출력
체스판 다시 칠하기,1,"지민이는 자신의 저택에서 MN개의 단위 정사각형으로 나누어져 있는 M×N 크기의 보드를 찾았다. 어떤 정사각형은 검은색으로 칠해져 있고, 나머지는 흰색으로 칠해져 있다. 지민이 는 이 보드를 잘라서 8×8 크기의 체스판으로 만들려고 한다. 체스판은 검은색과 흰색이 번갈아서 칠해져 있어야 한다. 구체적으로, 각 칸이 검은색과 흰 색 중 하나로 색칠되어 있고, 변을 공유하는 두 개의 사각형은 다른 색으로 칠해져 있어야 한 다. 따라서 이 정의를 따르면 체스판을 색칠하는 경우는 두 가지뿐이다. 하나는 맨 왼쪽 위 칸이 흰색인 경우, 하나는 검은색인 경우이다. 보드가 체스판처럼 칠해져 있다는 보장이 없어서, 지민이는 8×8 크기의 체스판으로 잘라낸 후에 몇 개의 정사각형을 다시 칠해야겠다고 생각했다. 당연히 8*8 크기는 아무데서나 골라 도 된다. 지민이가 다시 칠해야 하는 정사각형의 최소 개수를 구하는 프로그램을 작성하시오.
"," 첫째 줄에 N과 M이 주어진다. N과 M은 8보다 크거나 같고, 50보다 작거나 같은 자연수이다. 둘째 줄부터 N개의 줄에는 보드의 각 행의 상태가 주어진다. B는 검은색이며, W는 흰색이다", 첫째 줄에 지민이가 다시 칠해야 하는 정사각형 개수의 최솟값을 출력한다.,"N, M = map(int, input().split()) # 보드의 크기 N과 M을 입력 받음 board = [] # 보드의 상태를 저장할 2차원 배열 for _ in range(N): row = input() # 보드의 각 행의 상태를 입력 받음 board.append(list(row)) 현서_문제 3 min_count = float('inf') # 다시 칠해야 하는 정사각형 개수의 최솟값을 저장할 변수, 큰 값으로 초기화 for i in range(N - 7): # 8x8 체스판을 만들기 위한 행 범위 for j in range(M - 7): # 8x8 체스판을 만들기 위한 열 범위 count_white = 0 # 맨 왼쪽 위 칸이 흰색인 경우의 다시 칠해야 하는 정사각형 개수 count_black = 0 # 맨 왼쪽 위 칸이 검은색인 경우의 다시 칠해야 하는 정사각형 개수 for x in range(i, i + 8): for y in range(j, j + 8): if (x + y) % 2 == 0: # 예상되는 색깔과 다른 경우 if board[x][y] != 'W': count_white += 1 if board[x][y] != 'B': count_black += 1 else: # 예상되는 색깔과 다른 경우 if board[x][y] != 'B': count_white += 1 if board[x][y] != 'W': count_black += 1 min_count = min(min_count, count_white, count_black) # 최솟값을 갱신 print(min_count) # 다시 칠해야 하는 정사각형 개수의 최솟값을 출력"
A+B,1,"두 정수 A와 B를 입력받은 다음,?A+B를 출력하는 프로그램을 작성하시오"," 첫째 줄에 A와 B가 주어진다. (0 < A, B < 10)", 첫째 줄에 A+B를 출력한다.,"A, B = map(int, input().split()) # 정수 A와 B를 입력받음 result = A + B # A와 B를 더하여 결과를 계산 print(result) # 결과 출력"
행렬,1,"0과 1로만 이루어진 행렬 A와 행렬 B가 있다. 이때, 행렬 A를 행렬 B로 바꾸는데 필요한 연 산의 횟수의 최솟값을 구하는 프로그램을 작성하시오. 행렬을 변환하는 연산은 어떤 3×3크기의 부분 행렬에 있는 모든 원소를 뒤집는 것이다. (0 → 1, 1 → 0)"," 첫째 줄에 행렬의 크기 N M이 주어진다. N과 M은 50보다 작거나 같은 자연수이다. 둘째 줄부터 N개의 줄에는 행렬 A가 주어지고, 그 다음줄부터 N개의 줄에는 행렬 B가 주어진다.", 첫째 줄에 문제의 정답을 출력한다. 만약 A를 B로 바꿀 수 없다면 -1을 출력한다.,"N, M = map(int, input().split()) # N과 M 입력받기 A = [list(map(int, input())) for _ in range(N)] # 행렬 A 입력받기 B = [list(map(int, input())) for _ in range(N)] # 행렬 B 입력받기 def flip_submatrix(matrix, row, col): for i in range(row, row + 3): for j in range(col, col + 3): matrix[i][j] = 1 - matrix[i][j] def count_operations(matrix1, matrix2): count = 0 for i in range(N - 2): for j in range(M - 2): if matrix1[i][j] != matrix2[i][j]: flip_submatrix(matrix1, i, j) count += 1 return count if A == B: print(0) else: operations = count_operations(A, B) if A == B: print(operations) else: print(-1)"
직사각형,1,"한수는 지금 (x, y)에 있다. 직사각형은 각 변이 좌표축에 평행하고,?왼쪽 아래 꼭짓점은 (0, 0), 오른쪽 위 꼭짓점은 (w, h)에 있다. 직사각형의 경계선까지 가는 거리의 최솟값을 구하는 프로그램을 작성하시오."," 첫째 줄에 x,y,w,h가 주어진다.
제한: 1 ≤ w, h ≤ 1,000
1 ≤ x ≤ w-1
1 ≤ y ≤ h-1
x, y, w, h는 정수", 첫째 줄에 문제의 정답을 출력한다.,"x, y, w, h = map(int, input().split()) # x, y, w, h 입력받기 distances = [x, y, w - x, h - y] # 경계선까지의 거리 계산 min_distance = min(distances) # 최솟값 계산 print(min_distance) # 최솟값 출력"
